name,url,logo
ENS Cachan,http://www.ens-cachan.fr/,logo_ENS_Cachan.png
SPEE Labs,,logo_SPEE_Labs.png
CNAM,http://www.cnam.fr/,logo_cnam.gif
Supélec,http://www.supelec.fr/,logo_supelec.jpg
Labex LaSIPS,http://www.campus-paris-saclay.fr/Idex-Paris-Saclay/Les-Labex/Le-Labex-LaSIPS,logo_LaSIPS.jpg
CNRS,http://www.cnrs.fr/,logo_CNRS.jpg
SEEDS,http://www.seedsresearch.eu/,logo_SEEDS.png
IFSTTAR,http://www.ifsttar.fr/,logo_ifsttar.jpg
Université Paris-Sud,http://www.u-psud.fr,logo_UPSUD.png
